pubkey: 2uDvba9HTug7GEQk1CiN1gbSfCSN8aH4WA4tSPE5tdpK | owner: 7oM1UQrabuPSMVbzwoc7f9AvHw3dksoazQEKSm64cENu | ts: 2026-08-24T08:30:25.000Z | dep: $35793.58 | bor: $28597.07 | LTV: 0.7989 | liqThresh: 0.6500
pubkey: 2wbJ2ndavVqbGch6KPqgvWhMudAfS3jaW5oyeocrpLPy | owner: DshuaeH6thfGF9bCFQt6PabKMRTznXoTvoYh4wLMeYPs | ts: 2026-09-09T11:33:35.000Z | dep: $863.72 | bor: $28619.36 | LTV: 33.1350 | liqThresh: 0.4000
pubkey: 2xvsgw7f8XF9VMUW6kg1BHMNMjDQEznvDGUcEtKLDtsc | owner: BooCEsPAngArxKqBQvfSjcK3UXPSdMYZfhB3APMEKWR8 | ts: 2026-09-07T20:35:53.000Z | dep: $0.99 | bor: $28617.12 | LTV: 28958.9929 | liqThresh: 0.7500
pubkey: 2zMVRV2wR2sc575ejvM6Do2nXMxkMpKoTyKCYsF65eVU | owner: eSFWzz7wdZQvTTHrxngPKzSiuuFGy5Jw6WDu3Dw1Bev | ts: 2026-08-20T16:04:52.000Z | dep: $376.37 | bor: $28591.98 | LTV: 75.9673 | liqThresh: 0.7200
pubkey: 37CfUsGTwh43V2vExGpJ19oNpNiv61tjfCCHUSqibaaB | owner: E5DxLbAyTfT18YDXtr98qaYRe71hCRP5EX1FiMGvhZ62 | ts: 2026-08-24T12:31:37.000Z | dep: $54581.25 | bor: $28503.21 | LTV: 0.5222 | liqThresh: 0.7200
pubkey: 37nrfSGq9TXp1SgLGYBgMqYe8sxYcuTbd3fAg9tginvf | owner: 2w6mhjA7y1GTJ3FC4JhTSTP2bHrQbYyYj5fjJAHWsb7h | ts: 2026-09-13T21:00:54.000Z | dep: $2982.34 | bor: $28625.43 | LTV: 9.5983 | liqThresh: 0.4000
pubkey: 3JEzNPa94xSJB7njqnKRWBk7ctboA1FhjURDL4cZh8tz | owner: 65CiLDCHoDKkGVWmNs4Qy6N24W2ecMRD1TYkqkVGiQQU | ts: 2026-09-04T21:03:31.000Z | dep: $94.93 | bor: $28597.64 | LTV: 301.2405 | liqThresh: 0.4000
pubkey: 3KRDnQYcNQQSNc6vw4RBnSRmpb1MSTE7hV7wR7oegTQh | owner: 5xLMpFRRhTx49DpcXzj6kJMc79agy9vYLszRReLfiX78 | ts: 2026-08-27T21:18:31.000Z | dep: $5656.36 | bor: $28456.63 | LTV: 5.0309 | liqThresh: 0.4000
pubkey: 3KUJkBTXE1ApY1c3WE8uGL51Ti9AdfNgrayhDw7Ecw1X | owner: 4eexKjKCzNAmvRx7HngrGkAuYxwT83p7pByBXhXuE9Vu | ts: 2026-08-29T05:42:13.000Z | dep: $281.18 | bor: $28603.82 | LTV: 101.7293 | liqThresh: 0.4000
pubkey: 3Q7bKEffCk7En6e5LhQQMonMwnzA4qnc197a7LkrgQYF | owner: 5YH2PnnUzapZbAE9ipaTp5JyyYuA4bfYikPc2DkJCKWG | ts: 2026-08-28T14:53:25.000Z | dep: $594.96 | bor: $28602.96 | LTV: 48.0756 | liqThresh: 0.6500
pubkey: 3Q98t698vfrbtGGo5gqQcFJCxqSMjr8vS6QJxQKZWNiv | owner: 7eKwwSnnPUXFKFj3xP8cQfdPrerU98ER1XACKd5wxsYw | ts: 2026-09-03T15:04:01.000Z | dep: $50.47 | bor: $28611.27 | LTV: 566.8603 | liqThresh: 0.4000
pubkey: 3QdA9Fu5LNQqjWy6JMKtix66NEh8PmZZZRWxTSJXHDrA | owner: 65NAYE1yWCrdA9UAJsYdX2yW2FYzWJMsNpKfzNSF2EDn | ts: 2026-08-31T17:23:13.000Z | dep: $2019.81 | bor: $217786.89 | LTV: 107.8255 | liqThresh: 0.4000
pubkey: 3REKpDU1PueQSzHc68DV6y9KLvgvZzvWrXUmtMmn8Ypt | owner: ADTc8Yr6B7PrF64CNtJPBvjZubWE7tFZqk7QSATTP2u5 | ts: 2026-08-29T06:34:17.000Z | dep: $787.73 | bor: $28602.81 | LTV: 36.3104 | liqThresh: 0.7200
pubkey: 3XqvDfvWyuemyUNT413KrTLqvWtAzWVkJQHAeWYiRT3V | owner: Fvx9EyeFjS1p97uN9CEXPiHYzHpa8PRziyB7hR1BCuoA | ts: 2026-09-06T05:26:25.000Z | dep: $5835.40 | bor: $28601.59 | LTV: 4.9014 | liqThresh: 0.4000
pubkey: 3a5NQESJ6ofz2ZhLsvRCP1b4MnbSTr7B1h36nmUswcg2 | owner: 9y14Xq4Qq7un9zhrVLP7c8rPerKAngBpYTXmUfWgPBuS | ts: 2026-09-09T04:25:14.000Z | dep: $1240.86 | bor: $28618.95 | LTV: 23.0638 | liqThresh: 0.6500
pubkey: 3aAXQQggTcVpuXR3ZrFRdBv6KUNg2Proj6qxbXM7JgS5 | owner: BHRui6wTBQLQHwVEuCrh3vy3XqJkmrEBvqu1TnMij2sM | ts: 2026-09-15T20:30:24.000Z | dep: $521.36 | bor: $28627.93 | LTV: 54.9096 | liqThresh: 0.4000
pubkey: 3akCqBuAXdsbhu6BB94YPKyou4GodBgAXfp4gzFuGavV | owner: 8FMnFgAWzeSx7cvSnNJQaSjCobQexi342hVe3Akx1FPS | ts: 2026-08-28T16:32:31.000Z | dep: $7280.76 | bor: $28603.06 | LTV: 3.9286 | liqThresh: 0.5000
pubkey: 3apwKSeFyvUk3Egcb9XGZVpBNG4eX7ABfa1jzw61Ype7 | owner: DddLmKCaVhAiiJQUhSZqP9RJfLVqggprnzAmeVFGBJ76 | ts: 2026-09-14T14:17:03.000Z | dep: $26235.67 | bor: $28626.43 | LTV: 1.0911 | liqThresh: 0.6500
pubkey: 3bKLsjY5Kv9Ezm3qzkKcMEyfjVLB15LLrvodBqF5HtjN | owner: 7dnsDaTpvF8VAWaxwaCPJk3TrTe4xav5PPZqFELXz5ND | ts: 2026-09-15T20:07:35.000Z | dep: $596.77 | bor: $28628.15 | LTV: 47.9719 | liqThresh: 0.4000
pubkey: 3bbp6nhMHwaY5deJPdckuBa5eTbwrWTsVs2AoRWKyk99 | owner: iSvS18VBwyHpnENAtED3BAxFn2crs82XSDhXhP9wsZK | ts: 2026-09-11T03:32:15.000Z | dep: $249.88 | bor: $28621.66 | LTV: 114.5397 | liqThresh: 0.7500
pubkey: 3hs2oF68zLvd7dA7EfbbyBRzHBPcDYr9wzGAW8gJiYwF | owner: 4869FsckDTmfRMy8uJmer38KrKuyRoqAGrDwkVDqtVMT | ts: 2026-09-10T20:29:40.000Z | dep: $498.26 | bor: $28621.26 | LTV: 57.4430 | liqThresh: 0.7500
pubkey: 3jToNfMRZ423uHLRyb8uCddTGbZAf4ZWvKQQEtDJMEHA | owner: CoK43HeH3VsQAyfABCqa3uVtocH2AvprDKh4JPSwpWyD | ts: 2026-08-31T20:18:06.000Z | dep: $26.84 | bor: $60806.47 | LTV: 2265.9213 | liqThresh: 0.7500
pubkey: 3jwV6kTphspApK1nJQ1rCvpsGTmziP5kYVe1VZtC2Zrd | owner: HebuNMR8nwzUWu6xtbeay4z25swznJMkcMbfKfw3vVRA | ts: 2026-08-29T09:37:40.000Z | dep: $2439.39 | bor: $28604.05 | LTV: 11.7259 | liqThresh: 0.4000
pubkey: 3pBiWvGyzPFVRikFCrQU3Hy89fnZnigmEK4aZQuJvErH | owner: AHFyDo8vg1i63ygSFmyyhPzB3TqBqTu8xZWeWKLFQfYu | ts: 2026-09-15T04:39:46.000Z | dep: $102.99 | bor: $28581.56 | LTV: 277.5060 | liqThresh: 0.7500
pubkey: 3pQWenWePRTXURe5WpZL1dFKz2D936KzNttJs3iVaecd | owner: ANayLf9iQrR7U1e5RqPLDUQe66RCPkAdL2FHR5f92qe | ts: 2026-08-28T05:22:44.000Z | dep: $10582.38 | bor: $28602.42 | LTV: 2.7028 | liqThresh: 0.4000
pubkey: 3s412br8X1XLMwc56coB45Zh2Emv1zosTfRAyn9o9KRM | owner: qVZSNxiyNj7yDP3MKMZK6Y24CqoEhTynNdfN1ugq5TV | ts: 2026-09-15T15:50:00.000Z | dep: $504.08 | bor: $28602.82 | LTV: 56.7421 | liqThresh: 0.4000
pubkey: 3v4aMuTBBb1TuJ9z8M4xm8D8KkGNxKA4mqwhBLZC2v2J | owner: GdoiAks9KicCRFoNRvewjYtbHqDRVk64o2oeSqgTFZCk | ts: 2026-09-15T09:20:49.000Z | dep: $44.77 | bor: $28627.53 | LTV: 639.4562 | liqThresh: 0.7500
pubkey: 43G42gxxg7SM4MvnqPZqaDfme5Zhrreb3BSQNEdpwxPK | owner: 4hk3CoErofGKEvuKagGB7d4AZzFgXnW7uYRAGwWTK1Zj | ts: 2026-09-15T12:09:20.000Z | dep: $5.91 | bor: $28627.69 | LTV: 4840.7006 | liqThresh: 0.5000
pubkey: 44XRLe6oDmurwTNK6f7akS3ERQ3RDuPamPYU9DQ9cNfY | owner: GomQx6F75167WpMMDeZLFEWwASCBZyJyL3XNdMiGTF9q | ts: 2026-08-29T08:55:50.000Z | dep: $1143.30 | bor: $28514.49 | LTV: 24.9406 | liqThresh: 0.4000
pubkey: 46QovfdvRMxCxHNmjysPopJK2rzH31v9nx4nZYrsYirv | owner: 6p1reCwh5XtuWVEUCJ6kM7JRMJxHN7HoRLCdRnXQTXta | ts: 2026-09-15T14:09:12.000Z | dep: $61281.49 | bor: $28620.18 | LTV: 0.4670 | liqThresh: 0.4000
pubkey: 49FXPvWGsW7UB479uFVgfUWx3u9CMEsGbYh8NB8Nasct | owner: 9W2r2uHvRTPKHUCYcTMzWzUsUAD8vYQ52EuVWpUrPSn9 | ts: 2026-08-26T01:38:02.000Z | dep: $798.48 | bor: $28596.74 | LTV: 35.8138 | liqThresh: 0.7500
pubkey: 4C8DaHde37Qh6epBVyqRUuYWpDmjbZeQMdgc5pMHsmGC | owner: JAWEC7CXWAWkXiDLs6U6nfb1zVQyAqp8iGe4JdKdaWdE | ts: 2026-08-26T09:26:22.000Z | dep: $1651.65 | bor: $28599.59 | LTV: 17.3157 | liqThresh: 0.7000
